CODIGO_ENTIDAD|NOMBRE|TIPO_GESTION|ESTADO_LICENCIAMIENTO|PERIODO_LICENCIAMIENTO|CODIGO_FILIAL|NOMBRE_FILIAL|DEPARTAMENTO_FILIAL|PROVINCIA_FILIAL|CODIGO_LOCAL|DEPARTAMENTO_LOCAL|PROVINCIA_LOCAL|DISTRITO_LOCAL|LATITUD_UBICACION|LONGITUD_UBICACION|TIPO_AUTORIZACION_LOCAL|DENOMINACION_PROGRAMA|TIPO_NIVEL_ACADEMICO|NIVEL_ACADEMICO|CODIGO_CLASE_PROGRAMA_N2|NOMBRE_CLASE_PROGRAMA_N2|TIPO_AUTORIZACION_PROGRAMA|TIPO_AUTORIZACION_PROGRAMA_LOCAL
065|UNIVERSIDAD TECNOLOGICA DEL PERU S.A.C.|PRIVADO|LICENCIA OTORGADA|6|S|UTP-LIMA|LIMA|LIMA|SL09|LIMA|LIMA|SAN JUAN DE LURIGANCHO|-11.98329601|-77.00953028|AUTORIZADO POR LIC.|ADMINISTRACION DE EMPRESAS|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACION Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
008|PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU|PRIVADO|LICENCIA OTORGADA|10|S|PUCP-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|SAN MIGUEL|-12.0693438|-77.080122|AUTORIZADO POR LIC.|DERECHO DE LA EMPRESA CON MENCION EN RESPONSABILIDAD SOCIAL|POSGRADO|MAESTRIA|42|DERECHO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
065|UNIVERSIDAD TECNOLOGICA DEL PERU S.A.C.|PRIVADO|LICENCIA OTORGADA|6|S|UTP-LIMA|LIMA|LIMA|SL02|LIMA|LIMA|LIMA|-12.06576795|-77.03693393|AUTORIZADO POR LIC.|INGENIERIA MARITIMA CON MENCION PUENTE|PREGRADO|CARRERA PROFESIONAL|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
052A|UNIVERSIDAD CESAR VALLEJO S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F01|UPCV-PIURA|PIURA|PIURA|F01L01|PIURA|PIURA|VEINTISEIS DE OCTUBRE|-5.168798939|-80.65734342|AUTORIZADO POR LIC.|MAESTRIA EN ADMINISTRACION DE NEGOCIOS - MBA|POSGRADO|MAESTRIA|41|ADMINISTRACION Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
065|UNIVERSIDAD TECNOLOGICA DEL PERU S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F02|UTP-LAMBAYEQUE|LAMBAYEQUE|CHICLAYO|F02L01|LAMBAYEQUE|CHICLAYO|CHICLAYO|-6.7929064|-79.8644851|AUTORIZADO POR LIC.|INGENIERIA DE SISTEMAS E INFORMATICA|PREGRADO|CARRERA PROFESIONAL|61|INFORMATICA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL04|LIMA|LIMA|MIRAFLORES|-12.13402606|-77.02627908|AUTORIZADO POR LIC.|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN GERIATRIA|POSGRADO|SEGUNDA ESPECIALIDAD|92|BIENESTAR|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
054|UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.|PRIVADO|LICENCIA OTORGADA|6|S|UPC-LIMA|LIMA|LIMA|SL10|LIMA|LIMA|CHORRILLOS|-12.1964766|-77.0055369|AUTORIZADO POR LIC.|MAESTRIA EN TRADUCCION|POSGRADO|MAESTRIA|23|IDIOMAS|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
041|UNIVERSIDAD NACIONAL DE TUMBES|PUBLICO|LICENCIA OTORGADA|6|S|UNT-TUMBES|TUMBES|TUMBES|SL01|TUMBES|TUMBES|TUMBES|-3.585267|-80.443305|AUTORIZADO POR LIC.|MAESTRIA EN DERECHO CON MENCION EN DERECHO CONSTITUCIONAL Y ADMINISTRATIVO|POSGRADO|MAESTRIA|42|DERECHO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL04|LIMA|LIMA|MIRAFLORES|-12.13402606|-77.02627908|AUTORIZADO POR LIC.|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN ODONTOLOG�A FORENSE|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
003|UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO|PUBLICO|LICENCIA OTORGADA|8|F06|UNSAAC-APUR�MAC|APUR�MAC|ANDAHUAYLAS|F06L01|APUR�MAC|ANDAHUAYLAS|ANDAHUAYLAS|-13.6616515|-73.3767641|AUTORIZADO POR LIC.|MAESTRIA EN CONTABILIDAD MENCION TRIBUTACION|POSGRADO|MAESTRIA|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
010|UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU|PUBLICO|LICENCIA OTORGADA|6|S|UNCP-JUN�N|JUN�N|HUANCAYO|SL01|JUN�N|HUANCAYO|EL TAMBO|-12.0330464|-75.237332|AUTORIZADO POR LIC.|MAESTRIA EN ADMINISTRACION MENCION MARKETING Y GESTION DE NEGOCIOS INTERNACIONALES|POSGRADO|MAESTRIA|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
049|UNIVERSIDAD MARCELINO CHAMPAGNAT|PRIVADO|LICENCIA OTORGADA|6|S|UMCH-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|SANTIAGO DE SURCO|-12.1363972|-77.0057685|AUTORIZADO POR LIC.|COMPLEMENTACION ACADEMICA|PREGRADO|CARRERA PROFESIONAL|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL03|LIMA|LIMA|SAN ISIDRO|-12.091066|-77.052041|AUTORIZADO POR LIC.|PSICOLOGIA DE LA SALUD|POSGRADO|SEGUNDA ESPECIALIDAD|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
